code,level1,level2,level3,latitude,longitude
1165055000,서울특별시,서초구,반포본동,37.4976500,126.9881333
1165056000,서울특별시,서초구,반포1동,37.5033194,127.0144667
1165057000,서울특별시,서초구,반포2동,37.5017833,126.9965750
1165058000,서울특별시,서초구,반포3동,37.5091722,127.0077528
1165058100,서울특별시,서초구,반포4동,37.4947583,127.0024417
1165059000,서울특별시,서초구,방배본동,37.4914444,126.9908333
1165060000,서울특별시,서초구,방배1동,37.4805583,126.9966083
1165061000,서울특별시,서초구,방배2동,37.4769667,126.9876111
1165062000,서울특별시,서초구,방배3동,37.4775389,127.0011333
1165062100,서울특별시,서초구,방배4동,37.4868167,126.9933222
1165065100,서울특별시,서초구,양재1동,37.4816361,127.0381528
1165065200,서울특별시,서초구,양재2동,37.4677806,127.0431444
1165066000,서울특별시,서초구,내곡동,37.4591444,127.0534111
1168000000,서울특별시,강남구,,37.5145750,127.0495556
1168051000,서울특별시,강남구,신사동,37.5213389,127.0250222
1168052100,서울특별시,강남구,논현1동,37.5087889,127.0305111
1168053100,서울특별시,강남구,논현2동,37.5144361,127.0392889
1168054500,서울특별시,강남구,압구정동,37.5306420,127.0307130
1168056500,서울특별시,강남구,청담동,37.5251083,127.0493000
1168058000,서울특별시,강남구,삼성1동,37.5090417,127.0575306
1168059000,서울특별시,강남구,삼성2동,37.5083889,127.0480861
1168060000,서울특별시,강남구,대치1동,37.4905056,127.0638556
1168061000,서울특별시,강남구,대치2동,37.4971111,127.0690194
1168063000,서울특별시,강남구,대치4동,37.4969639,127.0598528
1168064000,서울특별시,강남구,역삼1동,37.4925833,127.0351444
1168065000,서울특별시,강남구,역삼2동,37.4932472,127.0488556
1168065500,서울특별시,강남구,도곡1동,37.4880667,127.0404972
1168065600,서울특별시,강남구,도곡2동,37.4798639,127.0454000
1168066000,서울특별시,강남구,개포1동,37.4790972,127.0595556
1168067000,서울특별시,강남구,개포2동,37.4851750,127.0757417
1168067500,서울특별시,강남구,개포3동,37.4921439,127.0736730
1168069000,서울특별시,강남구,개포4동,37.4760278,127.0537333
1168070000,서울특별시,강남구,세곡동,37.4663667,127.1093639
1168072000,서울특별시,강남구,일원본동,37.4805333,127.0886000
